Designator,Mid X,Mid Y,Rotation,Layer
BATTERY1,92.964,-35.306,0.0,top
D1,100.7,-97.5,0.0,top
D10,134.7,-76.5,0.0,top
D11,134.7,-59.5,0.0,top
D12,134.7,-42.5,0.0,top
D13,151.7,-88.5,0.0,top
D14,151.7,-71.5,0.0,top
D15,151.7,-54.5,0.0,top
D16,151.7,-37.5,0.0,top
D17,168.7,-94.5,0.0,top
D18,168.7,-77.5,0.0,top
D19,168.7,-60.5,0.0,top
D2,100.7,-80.5,0.0,top
D20,168.7,-43.5,0.0,top
D21,185.7,-97.5,0.0,top
D22,185.7,-80.5,0.0,top
D23,185.7,-63.5,0.0,top
D24,185.7,-46.5,0.0,top
D25,190.856218,-118.184937,330.0,top
D26,205.57865,-126.684937,330.0,top
D27,214.07865,-111.962505,330.0,top
D28,220.301081,-135.184937,330.0,top
D29,228.801081,-120.462505,330.0,top
D3,100.7,-63.5,0.0,top
D4,100.7,-46.5,0.0,top
D5,117.7,-97.5,0.0,top
D6,117.7,-80.5,0.0,top
D7,117.7,-63.5,0.0,top
D8,117.7,-46.5,0.0,top
D9,134.7,-93.5,0.0,top
MCUF1,150.95,-115.51825,180.0,top
S1,100.0,-100.0,0.0,top
S10,134.0,-79.0,0.0,top
S11,134.0,-62.0,0.0,top
S12,134.0,-45.0,0.0,top
S13,151.0,-91.0,0.0,top
S14,151.0,-74.0,0.0,top
S15,151.0,-57.0,0.0,top
S16,151.0,-40.0,0.0,top
S17,168.0,-97.0,0.0,top
S18,168.0,-80.0,0.0,top
S19,168.0,-63.0,0.0,top
S2,100.0,-83.0,0.0,top
S20,168.0,-46.0,0.0,top
S21,185.0,-100.0,0.0,top
S22,185.0,-83.0,0.0,top
S23,185.0,-66.0,0.0,top
S24,185.0,-49.0,0.0,top
S25,189.0,-120.0,330.0,top
S26,203.722432,-128.5,330.0,top
S27,212.222432,-113.777568,330.0,top
S28,218.444864,-137.0,330.0,top
S29,226.944864,-122.277568,330.0,top
S3,100.0,-66.0,0.0,top
S4,100.0,-49.0,0.0,top
S5,117.0,-100.0,0.0,top
S6,117.0,-83.0,0.0,top
S7,117.0,-66.0,0.0,top
S8,117.0,-49.0,0.0,top
S9,134.0,-96.0,0.0,top
